path	domain_tag	asset_type	fill	types
valuation_data.recent_sales[].adjustment_result.adjustments.micro_location.comp_value	valuation		143/300	float/null
valuation_data.recent_sales[].adjustment_result.adjustments.micro_location.diff	valuation		143/300	float
valuation_data.recent_sales[].adjustment_result.adjustments.micro_location.dollars	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.micro_location.dollars_unshrunk	valuation		140/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.micro_location.rate	valuation		143/300	str
valuation_data.recent_sales[].adjustment_result.adjustments.micro_location.skipped	valuation		143/300	bool
valuation_data.recent_sales[].adjustment_result.adjustments.micro_location.subject_value	valuation		143/300	float/null
valuation_data.recent_sales[].adjustment_result.adjustments.pool	valuation		143/300	object
valuation_data.recent_sales[].adjustment_result.adjustments.pool.comp_value	valuation		143/300	bool/int
valuation_data.recent_sales[].adjustment_result.adjustments.pool.diff	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.pool.dollars	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.pool.dollars_unshrunk	valuation		57/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.pool.rate	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.pool.skipped	valuation		7/300	bool
valuation_data.recent_sales[].adjustment_result.adjustments.pool.subject_value	valuation		143/300	int/null
valuation_data.recent_sales[].adjustment_result.adjustments.property_age	valuation		143/300	object
valuation_data.recent_sales[].adjustment_result.adjustments.property_age.comp_value	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.property_age.diff	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.property_age.dollars	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.property_age.dollars_unshrunk	valuation		134/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.property_age.rate	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.property_age.subject_value	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.renovation	valuation		143/300	object
valuation_data.recent_sales[].adjustment_result.adjustments.renovation.comp_value	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.renovation.diff	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.renovation.dollars	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.renovation.rate	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.renovation.retired	valuation		141/300	bool
valuation_data.recent_sales[].adjustment_result.adjustments.renovation.retired_reason	valuation		141/300	str
valuation_data.recent_sales[].adjustment_result.adjustments.renovation.subject_value	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.renovation_quality	valuation		143/300	object
valuation_data.recent_sales[].adjustment_result.adjustments.renovation_quality.comp_value	valuation		143/300	float
valuation_data.recent_sales[].adjustment_result.adjustments.renovation_quality.diff	valuation		143/300	float/int
valuation_data.recent_sales[].adjustment_result.adjustments.renovation_quality.dollars	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.renovation_quality.rate	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.renovation_quality.retired	valuation		141/300	bool
valuation_data.recent_sales[].adjustment_result.adjustments.renovation_quality.retired_reason	valuation		141/300	str
valuation_data.recent_sales[].adjustment_result.adjustments.renovation_quality.skipped	valuation		143/300	bool
valuation_data.recent_sales[].adjustment_result.adjustments.renovation_quality.subject_value	valuation		143/300	float/null
valuation_data.recent_sales[].adjustment_result.adjustments.stories	valuation		143/300	object
valuation_data.recent_sales[].adjustment_result.adjustments.stories.comp_value	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.stories.diff	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.stories.dollars	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.stories.dollars_unshrunk	valuation		1/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.stories.rate	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.stories.subject_value	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.street_premium	valuation		143/300	object
valuation_data.recent_sales[].adjustment_result.adjustments.street_premium.comp_value	valuation		143/300	float/null
valuation_data.recent_sales[].adjustment_result.adjustments.street_premium.diff	valuation		143/300	float
valuation_data.recent_sales[].adjustment_result.adjustments.street_premium.dollars	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.street_premium.dollars_unshrunk	valuation		74/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.street_premium.rate	valuation		143/300	str
valuation_data.recent_sales[].adjustment_result.adjustments.street_premium.skipped	valuation		143/300	bool
valuation_data.recent_sales[].adjustment_result.adjustments.street_premium.subject_value	valuation		143/300	float/null
valuation_data.recent_sales[].adjustment_result.adjustments.water_views	valuation		143/300	object
valuation_data.recent_sales[].adjustment_result.adjustments.water_views.comp_value	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.water_views.diff	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.water_views.dollars	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.water_views.dollars_unshrunk	valuation		23/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.water_views.rate	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.adjustments.water_views.subject_value	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.rates_source	valuation		143/300	str
valuation_data.recent_sales[].adjustment_result.reliability_applied	valuation		141/300	float
valuation_data.recent_sales[].adjustment_result.total_adjustment	valuation		143/300	int
valuation_data.recent_sales[].adjustment_result.total_adjustment_pct	valuation		143/300	float
valuation_data.recent_sales[].adjustment_result.total_adjustment_unshrunk	valuation		141/300	int
valuation_data.recent_sales[].distance_km	valuation		143/300	float
valuation_data.recent_sales[].features	valuation		143/300	object
valuation_data.recent_sales[].features.basic	valuation		143/300	object
valuation_data.recent_sales[].features.basic.ac_ducted	valuation		143/300	bool
valuation_data.recent_sales[].features.basic.approximate_build_year	valuation		143/300	int
valuation_data.recent_sales[].features.basic.bathrooms	physical_attributes		143/300	int
valuation_data.recent_sales[].features.basic.beach_distance_km	valuation		143/300	float
valuation_data.recent_sales[].features.basic.bedrooms	physical_attributes		143/300	int
valuation_data.recent_sales[].features.basic.car_spaces	physical_attributes		143/300	int
valuation_data.recent_sales[].features.basic.cladding_level	valuation		143/300	int
valuation_data.recent_sales[].features.basic.cladding_raw	valuation		143/300	str
valuation_data.recent_sales[].features.basic.floor_area_sqm	physical_attributes		143/300	float
valuation_data.recent_sales[].features.basic.kitchen_score	valuation		143/300	int/null
valuation_data.recent_sales[].features.basic.land_size_sqm	physical_attributes		143/300	float
valuation_data.recent_sales[].features.basic.number_of_stories	valuation		143/300	int
valuation_data.recent_sales[].features.basic.pool_present	valuation		143/300	bool
valuation_data.recent_sales[].features.basic.renovation_level	valuation		143/300	int
valuation_data.recent_sales[].features.basic.renovation_level_raw	valuation		143/300	str
valuation_data.recent_sales[].features.basic.renovation_quality_score	valuation		143/300	float
valuation_data.recent_sales[].features.basic.water_views	valuation		143/300	bool
valuation_data.recent_sales[].features.npui_breakdown	valuation		143/300	object
valuation_data.recent_sales[].features.npui_breakdown.inputs	valuation		143/300	object
valuation_data.recent_sales[].features.npui_breakdown.inputs.bathrooms	physical_attributes		143/300	int
valuation_data.recent_sales[].features.npui_breakdown.inputs.bedrooms	physical_attributes		143/300	int
valuation_data.recent_sales[].features.npui_breakdown.inputs.carspaces	physical_attributes		143/300	int
valuation_data.recent_sales[].features.npui_breakdown.inputs.exterior.overall_exterior_condition_score	valuation		143/300	int
valuation_data.recent_sales[].features.npui_breakdown.inputs.floor_area_sqm	physical_attributes		143/300	float
valuation_data.recent_sales[].features.npui_breakdown.inputs.interior.bathroom_quality_score	physical_attributes		142/300	float
valuation_data.recent_sales[].features.npui_breakdown.inputs.interior.kitchen_quality_score	valuation		142/300	int
valuation_data.recent_sales[].features.npui_breakdown.inputs.interior.natural_light_score	valuation		142/300	float
valuation_data.recent_sales[].features.npui_breakdown.inputs.interior.overall_interior_condition_score	valuation		142/300	int
valuation_data.recent_sales[].features.npui_breakdown.inputs.land_size_sqm	physical_attributes		143/300	float
valuation_data.recent_sales[].features.npui_breakdown.inputs.layout.layout_efficiency_score	valuation		143/300	int
valuation_data.recent_sales[].features.npui_breakdown.inputs.layout.number_of_living_areas	valuation		142/300	int
valuation_data.recent_sales[].features.npui_breakdown.inputs.outdoor.fence_condition_score	valuation		143/300	int
valuation_data.recent_sales[].features.npui_breakdown.inputs.outdoor.landscaping_quality_score	valuation		143/300	int
valuation_data.recent_sales[].features.npui_breakdown.inputs.outdoor.outdoor_entertainment_score	valuation		143/300	int
valuation_data.recent_sales[].features.npui_breakdown.inputs.renovation.modern_features_score	valuation		143/300	int
valuation_data.recent_sales[].features.npui_breakdown.npui	valuation		143/300	float
valuation_data.recent_sales[].features.npui_breakdown.null_fields	valuation		143/300	array[]/array[str]
valuation_data.recent_sales[].features.npui_breakdown.raw_utility	valuation		143/300	float
valuation_data.recent_sales[].id	valuation		143/300	str
valuation_data.recent_sales[].images	valuation		143/300	array[str]
valuation_data.recent_sales[].included_in_valuation	valuation		143/300	bool
valuation_data.recent_sales[].independent_valuation	valuation		143/300	int
valuation_data.recent_sales[].narrative	valuation		143/300	str
valuation_data.recent_sales[].original_sale_price	valuation		143/300	float/null
valuation_data.recent_sales[].price	valuation		143/300	float/int
valuation_data.recent_sales[].sale_date	valuation		143/300	int
valuation_data.recent_sales[].series	valuation		143/300	str
valuation_data.recent_sales[].time_adjustment	valuation		143/300	null/object
valuation_data.recent_sales[].time_adjustment.adjusted_price	valuation		4/300	int
valuation_data.recent_sales[].time_adjustment.applied	valuation		119/300	bool
valuation_data.recent_sales[].time_adjustment.current_quarter	valuation		119/300	str
valuation_data.recent_sales[].time_adjustment.current_quarter_median	valuation		4/300	int
valuation_data.recent_sales[].time_adjustment.growth_factor	valuation		4/300	float
valuation_data.recent_sales[].time_adjustment.original_price	valuation		4/300	float
valuation_data.recent_sales[].time_adjustment.reason	valuation		115/300	str
valuation_data.recent_sales[].time_adjustment.sale_quarter	valuation		119/300	str
valuation_data.recent_sales[].time_adjustment.sale_quarter_median	valuation		4/300	int
valuation_data.recent_sales[].utility_index	valuation		143/300	float
valuation_data.recent_sales[].valuation_price	valuation		143/300	null
valuation_data.recent_sales[].verification	valuation		143/300	object
valuation_data.recent_sales[].verification.accuracy_pct	valuation		143/300	float
valuation_data.recent_sales[].verification.checks_passed	valuation		143/300	bool
valuation_data.recent_sales[].verification.data_quality_pct	valuation		143/300	float
valuation_data.recent_sales[].verification.is_verified	valuation		143/300	bool
valuation_data.recent_sales[].verification.issues	valuation		143/300	array[str]
valuation_data.recent_sales[].verification.npui_accuracy_pct	valuation		143/300	float
valuation_data.recent_sales[].verification.status	valuation		143/300	str
valuation_data.recent_sales[].verification.z_score	valuation		143/300	float
valuation_data.recent_sales[].weight	valuation		143/300	object
valuation_data.recent_sales[].weight.factors	valuation		143/300	object
valuation_data.recent_sales[].weight.factors.adjusted_accuracy	valuation		143/300	float/int
valuation_data.recent_sales[].weight.factors.adjustment_quality	valuation		143/300	float/int
valuation_data.recent_sales[].weight.factors.data_quality	valuation		143/300	float
valuation_data.recent_sales[].weight.factors.proximity	valuation		143/300	float
valuation_data.recent_sales[].weight.factors.recency	valuation		143/300	float
valuation_data.recent_sales[].weight.factors.verification	valuation		143/300	float
valuation_data.recent_sales[].weight.normalized	valuation		143/300	float
valuation_data.recent_sales[].weight.raw_weight	valuation		143/300	float
valuation_data.regression_line	valuation		143/300	object
valuation_data.regression_line.intercept	valuation		143/300	float
valuation_data.regression_line.slope	valuation		143/300	float
valuation_data.subject_property	valuation		143/300	object
valuation_data.subject_property.address	identity_location		143/300	str
valuation_data.subject_property.distance_km	valuation		143/300	null
valuation_data.subject_property.features	valuation		143/300	object
valuation_data.subject_property.features.basic	valuation		143/300	object
valuation_data.subject_property.features.basic.ac_ducted	valuation		143/300	bool
valuation_data.subject_property.features.basic.approximate_build_year	valuation		143/300	int/null
valuation_data.subject_property.features.basic.bathrooms	physical_attributes		143/300	int/null
valuation_data.subject_property.features.basic.beach_distance_km	valuation		143/300	float
valuation_data.subject_property.features.basic.bedrooms	physical_attributes		143/300	int/null
valuation_data.subject_property.features.basic.car_spaces	physical_attributes		143/300	int/null
valuation_data.subject_property.features.basic.cladding_level	valuation		143/300	int
valuation_data.subject_property.features.basic.cladding_raw	valuation		143/300	null/str
valuation_data.subject_property.features.basic.floor_area_sqm	physical_attributes		143/300	float
valuation_data.subject_property.features.basic.kitchen_score	valuation		143/300	int/null
valuation_data.subject_property.features.basic.land_size_sqm	physical_attributes		143/300	float
valuation_data.subject_property.features.basic.micro_location_premium_pct	valuation		143/300	float/null
valuation_data.subject_property.features.basic.number_of_stories	valuation		143/300	int/null
valuation_data.subject_property.features.basic.pool_present	valuation		143/300	bool/null
valuation_data.subject_property.features.basic.renovation_level	valuation		143/300	int
valuation_data.subject_property.features.basic.renovation_level_raw	valuation		143/300	null/str
valuation_data.subject_property.features.basic.renovation_quality_score	valuation		143/300	float/null
valuation_data.subject_property.features.basic.street_premium_pct	valuation		143/300	float/null
valuation_data.subject_property.features.basic.water_views	valuation		143/300	bool
valuation_data.subject_property.features.npui_breakdown	valuation		143/300	object
valuation_data.subject_property.features.npui_breakdown.inputs	valuation		143/300	object
valuation_data.subject_property.features.npui_breakdown.inputs.bathrooms	physical_attributes		126/300	int
valuation_data.subject_property.features.npui_breakdown.inputs.bedrooms	physical_attributes		134/300	int
valuation_data.subject_property.features.npui_breakdown.inputs.carspaces	physical_attributes		141/300	int
valuation_data.subject_property.features.npui_breakdown.inputs.exterior.overall_exterior_condition_score	valuation		134/300	int
valuation_data.subject_property.features.npui_breakdown.inputs.floor_area_sqm	physical_attributes		143/300	float
valuation_data.subject_property.features.npui_breakdown.inputs.interior.bathroom_quality_score	physical_attributes		86/300	float/int
valuation_data.subject_property.features.npui_breakdown.inputs.interior.kitchen_quality_score	valuation		90/300	int
valuation_data.subject_property.features.npui_breakdown.inputs.interior.natural_light_score	valuation		89/300	float/int
valuation_data.subject_property.features.npui_breakdown.inputs.interior.overall_interior_condition_score	valuation		90/300	int
valuation_data.subject_property.features.npui_breakdown.inputs.land_size_sqm	physical_attributes		143/300	float
valuation_data.subject_property.features.npui_breakdown.inputs.layout.layout_efficiency_score	valuation		143/300	int
valuation_data.subject_property.features.npui_breakdown.inputs.layout.number_of_living_areas	valuation		74/300	int
valuation_data.subject_property.features.npui_breakdown.inputs.outdoor.fence_condition_score	valuation		101/300	int
valuation_data.subject_property.features.npui_breakdown.inputs.outdoor.landscaping_quality_score	valuation		129/300	int
valuation_data.subject_property.features.npui_breakdown.inputs.outdoor.outdoor_entertainment_score	valuation		126/300	int
valuation_data.subject_property.features.npui_breakdown.inputs.renovation.modern_features_score	valuation		94/300	int
valuation_data.subject_property.features.npui_breakdown.npui	valuation		143/300	float
valuation_data.subject_property.features.npui_breakdown.null_fields	valuation		143/300	array[]/array[str]
valuation_data.subject_property.features.npui_breakdown.raw_utility	valuation		143/300	float
valuation_data.subject_property.id	valuation		143/300	str
valuation_data.subject_property.images	valuation		143/300	array[]/array[str]
valuation_data.subject_property.micro_location_evidence	valuation		141/300	object
valuation_data.subject_property.micro_location_evidence.applied_pct	valuation		141/300	float
valuation_data.subject_property.micro_location_evidence.n_sales	valuation		141/300	int
valuation_data.subject_property.micro_location_evidence.radius_km	valuation		141/300	float
valuation_data.subject_property.micro_location_evidence.suburb_median	identity_location		141/300	int
valuation_data.subject_property.price	valuation		143/300	float
valuation_data.subject_property.series	valuation		143/300	str
valuation_data.subject_property.street_evidence	valuation		141/300	null/object
valuation_data.subject_property.street_evidence.applied_pct	valuation		76/300	float
valuation_data.subject_property.street_evidence.cap_pct	valuation		76/300	float
valuation_data.subject_property.street_evidence.capped	valuation		76/300	bool
valuation_data.subject_property.street_evidence.damping	valuation		76/300	float
valuation_data.subject_property.street_evidence.n_sales	valuation		76/300	int
valuation_data.subject_property.street_evidence.raw_avg_pct	valuation		76/300	float
valuation_data.subject_property.street_evidence.sample_sales	valuation		76/300	array[object]
valuation_data.subject_property.street_evidence.sample_sales[].address	identity_location		76/300	str
valuation_data.subject_property.street_evidence.sample_sales[].pct_vs_median	valuation		76/300	float
valuation_data.subject_property.street_evidence.sample_sales[].sale_price	valuation		76/300	int
valuation_data.subject_property.street_evidence.sample_sales[].sold_date	valuation		76/300	str
valuation_data.subject_property.street_evidence.street_name	valuation		76/300	str
valuation_data.subject_property.street_evidence.suburb_median	identity_location		76/300	int
valuation_data.subject_property.utility_index	valuation		143/300	float
valuation_data.subject_property.valuation_price	valuation		143/300	float/null
valuation_data.summary	valuation		177/300	object
valuation_data.summary.directional_only	valuation		48/300	bool
valuation_data.summary.exclusion_reason	valuation		34/300	str
valuation_data.summary.insufficient_data	valuation		177/300	bool
valuation_data.summary.n_comps	valuation		177/300	int
valuation_data.summary.n_current_listings	valuation		177/300	int
valuation_data.summary.n_included_in_valuation	valuation		143/300	int
valuation_data.summary.n_recent_sales	valuation		177/300	int
valuation_data.summary.n_verified_included	valuation		143/300	int
valuation_data.summary.positioning	valuation		143/300	str
valuation_data.summary.value_gap_pct	valuation		143/300	float
valuation_data.valuation_breakdown	valuation		143/300	null/object
valuation_data.valuation_breakdown.blended_valuation	valuation		138/300	float/int
valuation_data.valuation_breakdown.comparable_sales	valuation		138/300	array[object]
valuation_data.valuation_breakdown.comparable_sales[].address	identity_location		138/300	str
valuation_data.valuation_breakdown.comparable_sales[].distance_km	valuation		138/300	float
valuation_data.valuation_breakdown.comparable_sales[].npui	valuation		138/300	float
valuation_data.valuation_breakdown.comparable_sales[].sale_date	valuation		138/300	str
valuation_data.valuation_breakdown.comparable_sales[].sale_price	valuation		138/300	float/int
valuation_data.valuation_breakdown.has_listing_price	valuation		138/300	bool
valuation_data.valuation_breakdown.model_valuation	valuation		138/300	float/null
valuation_data.valuation_breakdown.npui_average	valuation		138/300	float
valuation_data.valuation_breakdown.npui_median	valuation		138/300	float/int
vendor_discount_pct	other		1/300	float
watch_article_generated	other		1/300	bool
watch_article_generated_at	other		1/300	str
watch_article_path	other		1/300	str
waterfront_meta	other		4/300	object
waterfront_meta.borderline	other		4/300	bool
waterfront_meta.detected_at	other		4/300	str
waterfront_meta.detector	other		4/300	str
waterfront_meta.policy	other		4/300	str
waterfront_meta.reason	other		4/300	str
waterfront_meta.signals	other		4/300	object
waterfront_meta.signals.listing_text	other		4/300	str
waterfront_meta.signals.photo_vision	images_assets	facade_gallery	4/300	bool
waterfront_meta.signals.satellite_water_proximity	images_assets	satellite	4/300	object
waterfront_meta.signals.satellite_water_proximity.backs_onto	images_assets	satellite	4/300	array[str]
waterfront_meta.signals.satellite_water_proximity.water_proximity	images_assets	satellite	4/300	str
withdrawn_date	listing_scrape		2/300	str
withdrawn_detected_at	listing_scrape		2/300	str
withdrawn_last_checked_at	listing_scrape		7/300	str
year_built	other		84/300	int
year_built_source	pipeline_meta		84/300	object
year_built_source.fetched_at	pipeline_meta		84/300	str
year_built_source.matched	pipeline_meta		84/300	str
year_built_source.path	pipeline_meta		84/300	str
year_built_source.script	pipeline_meta		84/300	str
year_built_source.url	pipeline_meta		84/300	str
zoning_data	other		4/300	object
zoning_data.cadastral_area_sqm	images_assets	cadastral_street	3/300	float
zoning_data.coordinates_source	pipeline_meta		3/300	str
zoning_data.enriched_at	other		4/300	str
zoning_data.flood_depth_code	other		2/300	int
zoning_data.flood_depth_description	other		2/300	str
zoning_data.flood_description	other		2/300	str
zoning_data.flood_designated_level_m	other		3/300	float
zoning_data.flood_floor_clearance_m	other		1/300	float
zoning_data.flood_floor_level_m	other		3/300	int/null
zoning_data.flood_freeboard_m	other		3/300	float
zoning_data.flood_ground_level_m	other		3/300	float
zoning_data.flood_overlay	other		3/300	bool
zoning_data.flood_risk_note	other		3/300	str
zoning_data.heritage_listed	other		3/300	bool
zoning_data.ica_flood_zones	other		3/300	object
zoning_data.ica_flood_zones.extremely_rare	other		3/300	bool
zoning_data.ica_flood_zones.frequent	other		3/300	bool
zoning_data.ica_flood_zones.infrequent_1pct	other		3/300	bool
zoning_data.ica_flood_zones.infrequent_5pct	other		3/300	bool
zoning_data.ica_flood_zones.rare	other		3/300	bool
zoning_data.ica_note	other		2/300	str
zoning_data.in_any_ica_zone	other		3/300	bool
zoning_data.latitude	identity_location		3/300	float
zoning_data.longitude	identity_location		3/300	float
zoning_data.lot_plan	other		4/300	str
zoning_data.zone	other		3/300	str
zoning_data.zone_detail	other		3/300	null
zoning_data.zone_precinct	other		3/300	str
ADDRESS_PID	identity_location		291/300	int
ADDRESS_STANDARD	identity_location		291/300	str
ADDRESS_STATUS	identity_location		291/300	str
DATUM	other		291/300	str
GEOCODE_TYPE	identity_location		291/300	str
LATITUDE	identity_location		292/300	float
LGA_CODE	other		291/300	int
LOCALITY	other		292/300	str
LOCAL_AUTHORITY	other		291/300	str
LONGITUDE	identity_location		292/300	float
LOT	other		291/300	str
LOTPLAN_STATUS	other		291/300	str
PLAN	other		291/300	str
POSTCODE	identity_location		292/300	str
POSTCODE_original_cadastral	identity_location		79/300	str
PROPERTY_NAME	other		291/300	null/str
STREET_NAME	other		291/300	str
STREET_NO_1	other		291/300	null/str
STREET_NO_1_SUFFIX	other		291/300	null/str
STREET_NO_2	other		291/300	null/str
STREET_NO_2_SUFFIX	other		291/300	null
STREET_SUFFIX	other		291/300	null
STREET_TYPE	other		291/300	str
UNIT_NUMBER	other		291/300	null/str
UNIT_SUFFIX	other		291/300	null
UNIT_TYPE	other		291/300	null/str
_id	identity_location		300/300	ObjectId
address	identity_location		205/300	str
address_fix	identity_location		3/300	object
address_fix.fixed_at	identity_location		3/300	str
address_fix.note	identity_location		3/300	str
address_fix.original	identity_location		3/300	object
address_fix.original.complete_address	identity_location		3/300	str
address_fix.reason	identity_location		3/300	str
address_fix.script	identity_location		3/300	str
aerial_boundary_at	images_assets	aerial	231/300	str
aerial_boundary_failed	images_assets	aerial	3/300	str
aerial_boundary_scope	images_assets	aerial	100/300	str
aerial_boundary_url	images_assets	aerial	232/300	str
agency	other		13/300	str
agency_name	other		4/300	str
agent_name	listing_scrape		17/300	str
agent_names	listing_scrape		13/300	array[str]
agents_description	listing_scrape		17/300	str
ai_analysis	editorial_ai		6/300	object
ai_analysis.<dynamic>	editorial_ai		2/300	object (27 data keys)
ai_analysis._agent_briefings	editorial_ai		1/300	object
ai_analysis._agent_briefings.market	editorial_ai		1/300	str
ai_analysis._agent_briefings.price	editorial_ai		1/300	str
ai_analysis._agent_briefings.property	editorial_ai		1/300	str
ai_analysis._backfill_data	editorial_ai		1/300	str
ai_analysis._draft1	editorial_ai		1/300	object
ai_analysis._draft1.headline	editorial_ai		1/300	str
ai_analysis._draft1.sub_headline	editorial_ai		1/300	str
ai_analysis._draft1.verdict	editorial_ai		1/300	str
ai_analysis._reflection	editorial_ai		1/300	object
ai_analysis._reflection.content_score	editorial_ai		1/300	str
ai_analysis._reflection.flood_position	editorial_ai		1/300	str
ai_analysis._reflection.has_data_gaps	editorial_ai		1/300	bool
ai_analysis._reflection.raw	editorial_ai		1/300	str
ai_analysis._reflection.suggested_verdict	editorial_ai		1/300	str
ai_analysis._sabri_suggested_h2s	editorial_ai		1/300	array[str]
ai_analysis._verify_outcome	editorial_ai		1/300	str
ai_analysis.alert_created_at	editorial_ai		2/300	str
ai_analysis.alerts	editorial_ai		2/300	array[str]
ai_analysis.best_for	editorial_ai		1/300	array[str]
ai_analysis.cta_market_buy	editorial_ai		1/300	object
ai_analysis.cta_market_buy.hook	editorial_ai		1/300	str
ai_analysis.cta_market_buy.label	editorial_ai		1/300	str
ai_analysis.cta_market_buy.url	editorial_ai		1/300	str
ai_analysis.cta_market_sell	editorial_ai		1/300	object
ai_analysis.cta_market_sell.hook	editorial_ai		1/300	str
ai_analysis.cta_market_sell.label	editorial_ai		1/300	str
ai_analysis.cta_market_sell.url	editorial_ai		1/300	str
ai_analysis.cta_valuation	valuation		1/300	object
ai_analysis.cta_valuation.hook	valuation		1/300	str
ai_analysis.cta_valuation.label	valuation		1/300	str
ai_analysis.cta_valuation.tab	valuation		1/300	str
ai_analysis.faqs	editorial_ai		1/300	array[object]
ai_analysis.faqs[].answer	editorial_ai		1/300	str
ai_analysis.faqs[].question	editorial_ai		1/300	str
ai_analysis.flood_section	editorial_ai		1/300	object
ai_analysis.flood_section.body	editorial_ai		1/300	str
ai_analysis.flood_section.source	editorial_ai		1/300	str
ai_analysis.flood_section.title	editorial_ai		1/300	str
ai_analysis.generated_at	editorial_ai		1/300	str
ai_analysis.headline	editorial_ai		3/300	str
ai_analysis.insights	editorial_ai		1/300	array[object]
ai_analysis.insights[].comparables	valuation		1/300	null
ai_analysis.insights[].h2	editorial_ai		1/300	str
ai_analysis.insights[].key_points	editorial_ai		1/300	array[str]
ai_analysis.insights[].key_points_label	editorial_ai		1/300	str
ai_analysis.insights[].lifestyle_hook	editorial_ai		1/300	str
ai_analysis.insights[].what_this_means	editorial_ai		1/300	array[str]
ai_analysis.meta_description	editorial_ai		1/300	str
ai_analysis.meta_title	editorial_ai		1/300	str
ai_analysis.model	editorial_ai		1/300	str
ai_analysis.next_steps	editorial_ai		1/300	array[str]
ai_analysis.not_ideal_for	editorial_ai		1/300	array[str]
ai_analysis.pre_suppression_status	editorial_ai		1/300	str
ai_analysis.published_at	editorial_ai		1/300	str
ai_analysis.quick_take	editorial_ai		1/300	object
ai_analysis.quick_take.strengths	editorial_ai		1/300	array[str]
ai_analysis.quick_take.trade_off	editorial_ai		1/300	str
ai_analysis.skipped_at	editorial_ai		1/300	str
ai_analysis.skipped_reason	editorial_ai		1/300	str
ai_analysis.status	editorial_ai		4/300	str
ai_analysis.sub_headline	editorial_ai		1/300	str
ai_analysis.suppressed_at	editorial_ai		1/300	str
ai_analysis.suppressed_reason	editorial_ai		2/300	str
ai_analysis.verdict	editorial_ai		1/300	str
apr01_recovery_at	other		161/300	datetime
apr01_recovery_source	pipeline_meta		161/300	str
article_generated	other		1/300	bool
article_generated_at	other		1/300	str
article_path	other		1/300	str
bathrooms	physical_attributes		227/300	int
bathrooms_source	physical_attributes		83/300	object
bathrooms_source.backfilled_at	physical_attributes		42/300	str
bathrooms_source.fetched_at	physical_attributes		41/300	str
bathrooms_source.matched	physical_attributes		41/300	str
bathrooms_source.path	physical_attributes		83/300	str
bathrooms_source.script	physical_attributes		83/300	str
bathrooms_source.url	physical_attributes		41/300	str
beach_distance_enriched_at	other		3/300	datetime
bedrooms	physical_attributes		234/300	int
bedrooms_source	physical_attributes		86/300	object
bedrooms_source.backfilled_at	physical_attributes		48/300	str
bedrooms_source.fetched_at	physical_attributes		38/300	str
bedrooms_source.matched	physical_attributes		38/300	str
bedrooms_source.path	physical_attributes		86/300	str
bedrooms_source.script	physical_attributes		86/300	str
bedrooms_source.url	physical_attributes		38/300	str
cadastral_accuracy	images_assets	cadastral_street	164/300	str
cadastral_enriched_at	images_assets	cadastral_street	164/300	datetime
cadastral_photo_url	images_assets	cadastral_street	173/300	str
cadastral_photos_count	images_assets	cadastral_street	186/300	int
cadastral_photos_dir	images_assets	cadastral_street	186/300	str
cadastral_photos_downloaded_at	images_assets	cadastral_street	186/300	datetime
cadastral_photos_failed	images_assets	cadastral_street	186/300	int
cadastral_photos_total_bytes	images_assets	cadastral_street	186/300	int
cadastral_polygon	images_assets	cadastral_street	285/300	object
cadastral_polygon.boundary_scope	images_assets	aerial	153/300	str
cadastral_polygon.lot_area	images_assets	cadastral_street	15/300	float
