path	domain_tag	asset_type	fill	types
cadastral_photos_downloaded_at	images_assets	cadastral_street	188/300	datetime
cadastral_photos_failed	images_assets	cadastral_street	188/300	int
cadastral_photos_total_bytes	images_assets	cadastral_street	188/300	int
cadastral_polygon	images_assets	cadastral_street	287/300	object
cadastral_polygon.backfilled_at	images_assets	cadastral_street	2/300	str
cadastral_polygon.boundary_scope	images_assets	aerial	129/300	str
cadastral_polygon.lot_area	images_assets	cadastral_street	1/300	float
cadastral_polygon.lot_area_sqm	images_assets	cadastral_street	286/300	float
cadastral_polygon.lotplan	images_assets	cadastral_street	287/300	str
cadastral_polygon.rings	images_assets	cadastral_street	287/300	array[array[array[float]]]
cadastral_polygon.source	images_assets	cadastral_street	2/300	str
car_spaces	physical_attributes		237/300	int
car_spaces_source	physical_attributes		60/300	object
car_spaces_source.fetched_at	physical_attributes		60/300	str
car_spaces_source.matched	physical_attributes		60/300	str
car_spaces_source.path	physical_attributes		60/300	str
car_spaces_source.script	physical_attributes		60/300	str
car_spaces_source.url	physical_attributes		60/300	str
carspaces	physical_attributes		16/300	int
change_count	other		4/300	int
classification_confidence	valuation		9/300	float
classification_model	other		9/300	str
classification_reasoning	other		9/300	str
classified_at	other		9/300	datetime
classified_property_type	physical_attributes		9/300	str
comparable_bedrooms	physical_attributes		7/300	int
comparable_property_type	physical_attributes		7/300	str
comparable_sales_count	valuation		7/300	int
comparable_suburb	identity_location		7/300	str
complete_address	identity_location		297/300	str
complex_cms	other		135/300	null/str
complex_lot_count	other		135/300	int
complex_name_cadastre	other		135/300	null/str
complex_plan	other		135/300	str
complex_subtype	other		135/300	str
created_at	other		3/300	datetime/str
created_by	other		2/300	str
days_on_domain	market_metrics		9/300	int
days_on_market	market_metrics		9/300	int
days_on_market_source	market_metrics		9/300	str
description	other		17/300	str
detection_method	other		4/300	str
display_postcode	identity_location		295/300	str
domain_hero_image_url	images_assets	hero_facade	189/300	null/str
domain_image_urls	images_assets	facade_gallery	189/300	array[]/array[str]
domain_says_text	market_metrics		7/300	str
domain_valuation_accuracy	valuation		9/300	object
domain_valuation_accuracy.computed_at	valuation		9/300	str
domain_valuation_accuracy.domain_high	valuation		9/300	int
domain_valuation_accuracy.domain_low	valuation		9/300	int
domain_valuation_accuracy.domain_mid	valuation		9/300	int
domain_valuation_accuracy.error_dollars	valuation		9/300	int
domain_valuation_accuracy.error_pct	valuation		9/300	float
domain_valuation_accuracy.sale_price	valuation		9/300	int
domain_valuation_accuracy.within_range	valuation		9/300	bool
domain_valuation_at_listing	valuation		11/300	object
domain_valuation_at_listing.accuracy	valuation		11/300	str
domain_valuation_at_listing.captured_at	valuation		11/300	str
domain_valuation_at_listing.date	valuation		11/300	str
domain_valuation_at_listing.high	valuation		11/300	int
domain_valuation_at_listing.low	valuation		11/300	int
domain_valuation_at_listing.mid	valuation		11/300	int
domain_valuation_at_listing.source	valuation		11/300	str
enriched	other		9/300	bool
enriched_data	other		225/300	object
enriched_data.building_area_sqm	physical_attributes		4/300	float/null
enriched_data.capital_gain	other		9/300	null/object
enriched_data.capital_gain.has_data	other		5/300	bool
enriched_data.capital_gain.note	other		5/300	str
enriched_data.capital_gain.oldest_transaction_date	transactions_history		5/300	str
enriched_data.capital_gain.oldest_transaction_price	transactions_history		5/300	float
enriched_data.capital_gain.years_held	other		5/300	float
enriched_data.floor_area_conflict	physical_attributes		4/300	bool
enriched_data.floor_area_source	physical_attributes		4/300	str
enriched_data.floor_area_sqm	physical_attributes		9/300	float
enriched_data.last_enriched	other		9/300	str
enriched_data.lot_size_sqm	other		162/300	float/null
enriched_data.transactions	transactions_history		225/300	array[]/array[object]
enriched_data.transactions[].date	transactions_history		218/300	str
enriched_data.transactions[].price	transactions_history		218/300	float
enriched_data.transactions[].source	transactions_history		213/300	str
enriched_data.transactions[].type	transactions_history		5/300	str
enrichment_attempted	other		9/300	bool
